Match_ID,Round,Date,LogoHome,LogoAway,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,EGHT,EGAT,BPHT,BPAT,GAHT,GAAT,SoGHT,SoGAT,FKHT,FKAT,CKHT,CKAT,OHT,OAT,THT,TAT,GSHT,GSAT,FHT,FAT,RCHT,RCAT,YCHT,YCAT,TPHT,TPAT,AHT,AAT,DAHT,DAAT,CCHT,CCAT
rZrW8iVi,ROUND 12,11.11.2023,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,Crystal Palace,Everton,2,3,1,1,0.91,0.52,59,41,5,4,3,2,4,6,3,1,2,0,8,8,1,1,6,5,-,-,1,1,297,200,44,57,26,38,19,9
4lXv7Va4,ROUND 12,11.11.2023,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,Manchester Utd,Luton,1,0,0,0,1.31,0.19,75,25,7,4,6,1,3,4,4,2,1,1,7,6,3,1,3,2,-,-,-,-,351,110,81,23,45,8,4,18
CEzm59UG,ROUND 12,11.11.2023,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,https://static.flashscore.com/res/image/data/ARC62UAr-SOY3p1Si.png,Wolves,Tottenham,2,1,0,1,0.38,0.47,37,63,9,2,7,1,8,10,6,1,2,1,9,8,0,2,8,7,-,-,0,2,198,357,49,58,30,21,2,9
EqzEhWpB,ROUND 11,06.11.2023,https://static.flashscore.com/res/image/data/ARC62UAr-SOY3p1Si.png,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,Tottenham,Chelsea,1,4,1,1,0.17,1.31,48,52,4,7,1,5,11,7,1,3,1,2,10,8,1,2,7,10,1,0,2,2,182,197,36,44,20,28,-,-
W0vgcfWu,ROUND 11,05.11.2023,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,https://static.flashscore.com/res/image/data/vwC9RGhl-Imx2oQd8.png,Luton,Liverpool,1,1,0,0,0.15,1.21,26,74,4,11,3,8,5,3,0,2,0,1,9,4,3,1,3,4,-,-,1,0,127,361,45,78,15,37,-,-
IHt5fhGb,ROUND 11,05.11.2023,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,Nottingham,Aston Villa,2,0,1,0,0.30,0.41,32,68,3,4,2,3,4,7,0,6,4,1,10,2,1,0,3,3,-,-,-,-,150,305,17,69,17,33,-,-
vRs1eY0h,ROUND 11,04.11.2023,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,Newcastle,Arsenal,1,0,0,0,0.15,0.36,48,52,4,8,4,7,7,7,0,4,1,0,9,7,1,0,6,7,-,-,3,1,197,214,41,54,27,29,-,-
MkBzuDGB,ROUND 11,04.11.2023,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,https://static.flashscore.com/res/image/data/Qo3RdMjl-ARW4wdCc.png,Brentford,West Ham,3,2,1,2,0.92,1.81,64,36,8,6,6,4,8,8,3,1,1,0,3,7,0,1,7,8,-,-,1,1,292,156,62,39,36,21,-,-
0tAvvXVH,ROUND 11,04.11.2023,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,Burnley,Crystal Palace,0,2,0,1,0.57,0.83,64,36,7,2,7,0,8,5,9,1,0,0,7,7,1,0,5,8,-,-,0,3,239,143,52,30,40,5,-,-
f39rwioO,ROUND 11,04.11.2023,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,Everton,Brighton,1,1,1,0,0.54,0.20,16,84,6,3,3,2,5,6,0,0,0,3,7,4,1,2,6,2,-,-,1,2,92,483,29,74,8,27,-,-
AiwcdEon,ROUND 11,04.11.2023,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,Manchester City,Bournemouth,6,1,3,0,0.78,0.15,72,28,15,2,11,2,4,4,9,0,0,1,1,1,0,1,4,3,-,-,0,1,369,143,82,15,51,6,-,-
0tW9gCV4,ROUND 11,04.11.2023,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,Sheffield Utd,Wolves,2,1,0,0,0.03,0.99,38,62,1,7,1,6,4,7,0,2,0,2,14,5,1,0,7,2,-,-,1,0,171,290,51,53,16,19,-,-
6wDnxB0U,ROUND 11,04.11.2023,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,Fulham,Manchester Utd,0,1,0,0,0.28,0.26,41,59,8,5,8,4,7,5,5,2,1,2,6,5,1,0,4,5,-,-,1,0,174,257,38,49,20,22,-,-
W0INsFWh,ROUND 10,29.10.2023,https://static.flashscore.com/res/image/data/nwSRlyWg-h2pPXz3k.png,https://static.flashscore.com/res/image/data/UXcqj7HG-lQuhqN8N.png,Manchester Utd,Manchester City,0,3,0,1,0.29,1.50,39,61,4,7,2,3,3,7,2,9,2,0,8,4,3,2,5,3,-,-,2,1,178,267,25,68,13,38,-,-
SSk1QD1I,ROUND 10,29.10.2023,https://static.flashscore.com/res/image/data/QsnteKXg-jwz95gs0.png,https://static.flashscore.com/res/image/data/lIDbGiYg-dATKxRKP.png,Aston Villa,Luton,3,1,1,0,1.89,0.00,78,22,14,0,10,0,11,6,5,0,0,4,5,7,0,3,6,6,-,-,1,0,325,93,63,27,28,10,-,-
6Jl5PXGO,ROUND 10,29.10.2023,https://static.flashscore.com/res/image/data/40juIezB-b92lfEJC.png,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Brighton,Fulham,1,1,1,0,0.57,0.11,72,28,8,3,4,3,0,4,3,2,0,0,6,14,0,3,4,0,-,-,-,-,456,170,55,39,28,14,-,-
IcEJreHn,ROUND 10,29.10.2023,https://static.flashscore.com/res/image/data/vwC9RGhl-Imx2oQd8.png,https://static.flashscore.com/res/image/data/GCLLkTzB-ImKwLTtA.png,Liverpool,Nottingham,3,0,2,0,2.21,0.13,74,26,13,2,6,2,6,5,6,1,0,2,5,12,0,5,5,4,-,-,1,1,370,128,83,33,48,7,-,-
QNHRtZoa,ROUND 10,29.10.2023,https://static.flashscore.com/res/image/data/Qo3RdMjl-ARW4wdCc.png,https://static.flashscore.com/res/image/data/EwJqZUZA-bRmKmISE.png,West Ham,Everton,0,1,0,0,0.14,0.23,59,41,2,4,1,3,9,3,1,1,0,2,6,13,1,1,3,6,-,-,1,1,315,232,53,61,21,14,-,-
4EGVug15,ROUND 10,28.10.2023,https://static.flashscore.com/res/image/data/Iwsrq5xS-CjV6Eptm.png,https://static.flashscore.com/res/image/data/fojwJwZA-ImMEe0UF.png,Wolves,Newcastle,2,2,1,2,0.31,1.94,41,59,7,9,3,5,8,6,6,4,0,0,10,7,2,3,7,8,-,-,-,-,182,266,35,55,17,27,-,-
p40dRgnC,ROUND 10,28.10.2023,https://static.flashscore.com/res/image/data/pfchdCg5-vcNAdtF9.png,https://static.flashscore.com/res/image/data/Gb50BgCr-K2FpWLH3.png,Arsenal,Sheffield Utd,5,0,1,0,1.06,0.03,66,34,5,2,2,2,-,-,4,0,0,1,7,13,0,2,4,4,-,-,-,-,353,183,72,26,30,5,-,-
W0dhSZW5,ROUND 10,28.10.2023,https://static.flashscore.com/res/image/data/2Pb55xWg-tCGtX12c.png,https://static.flashscore.com/res/image/data/UaPJjYBr-6PhTI7J6.png,Bournemouth,Burnley,2,1,1,1,0.76,0.31,53,47,8,4,5,2,-,-,6,4,1,0,12,6,1,2,4,5,-,-,0,1,213,186,52,39,21,22,-,-
YPxmlHgP,ROUND 10,28.10.2023,https://static.flashscore.com/res/image/data/GMmvDEdM-IROrZEJb.png,https://static.flashscore.com/res/image/data/bBj3NWfM-r9Mudk7j.png,Chelsea,Brentford,0,2,0,0,1.15,0.09,67,33,10,2,8,1,3,6,3,1,0,0,3,11,1,2,6,3,-,-,-,-,370,182,80,42,53,15,-,-
zZOEqy2t,ROUND 10,27.10.2023,https://static.flashscore.com/res/image/data/AFNlsDzS-pzMOQXRe.png,https://static.flashscore.com/res/image/data/ARC62UAr-SOY3p1Si.png,Crystal Palace,Tottenham,1,2,0,0,0.27,0.13,28,72,8,3,6,3,6,9,5,0,0,0,17,9,0,2,8,6,-,-,-,-,127,354,37,59,16,29,-,-
xvclTFHa,ROUND 9,23.10.2023,https://static.flashscore.com/res/image/data/ARC62UAr-SOY3p1Si.png,https://static.flashscore.com/res/image/data/naaAVOzB-ImMEe0UF.png,Tottenham,Fulham,2,0,1,0,0.80,0.16,66,34,10,5,6,4,10,8,3,3,3,3,5,11,1,3,5,7,-,-,1,0,321,158,71,33,35,16,-,-
